  Jahr  KW   Km    Art Preis  
   95   55  66.5   0  9.4400
   92   55  75.0   0  6.4000
   95   44  50.0   0  7.4500
   92   51  76.0   0  3.9750
   93   55  39.0   0  7.7500
   94   66  37.0   0  9.6000
   97   74   8.0   0 15.9950
   89   75  75.0   0  3.4500
   89   66 139.0   0  2.5000
   86   55  78.0   0  1.2500
   89   51 143.0   0  2.6000
   91   66 106.0   0  4.9750
   91   66 140.0   0  3.2500
   91   40 160.0   0  3.0000
   90   51  87.0   0  4.2500
   91   40  35.0   0  4.9000
   90  118  20.0   0  3.9500
   95   66  42.0   0  9.7500
   95   55  35.0   0  9.7500
   97   85  14.2   0 15.4750
   96   55  29.0   0 16.5000
   92   66 103.0   0  6.9000
   94   66  75.0   0  9.9500
   92   55 113.0   0  5.9000
   95   44  86.0   0  7.8000
   97   85   7.0   0 13.7500
   95   66  62.0   0 10.5000
   93   55  57.0   0  7.4000
   95   55  69.0   0  7.7500
   95   55 111.5   0  6.7250
   94   44  58.0   0  6.8000
   95   55  75.0   0  7.8000
   96   74  52.0   0 10.9500
   92   66  88.0   0  7.6000
   94   44  33.0   0  9.2500
   95   55  41.0   0  9.7500
   96   66  64.0   0 12.4425
   96   47  80.0   0  7.4500
   98   55   7.0   0 13.4500
   98   55   7.0   0 14.4750
   98   74  16.0   0 16.4500
   98   66   9.8   0 14.9500
   98   55   7.0   0 13.6000
   98   74  25.0   0 14.7500
   98   74  15.0   0 15.9950
   90   40 116.0   0  2.8250
   93   44  76.0   0  7.3750
   95   44  21.0   0  9.8750
   97   47  76.0   0  9.4500
   97  140   9.4   0 21.9900
   94   55  76.0   0  8.4500
   96   55  37.0   0 12.1000
   96   66  78.0   0 11.9500
   98   55  19.0   0 14.9750
   94   85  80.0   0 11.9750
   97   55  22.9   0 12.9950
   96   55  35.0   0 11.4500
   93  128  75.0   0  8.2500
   94   66  51.0   1 10.9950
   96   84  46.0   1 15.4500
   95   66  36.0   1 14.2800
   90   72  54.0   1  6.4500
   87   70 169.0   1  2.7775
   95   66  45.0   1 12.7500
   93   72  90.0   1  7.2500
   98   66  13.0   1 19.4750
   96   44  39.0   1  8.4750
   90   66  87.0   2  4.9500
   96   74  38.0   2 11.9250
   94   85  70.0   2  9.4750
   90  118  20.0   2  3.9500
   92   66  88.0   2  7.6000
   92   66 103.0   2  6.9000
   93   55  39.0   2  7.7500
   93   55  57.0   2  7.4000
   95   66  42.0   2  9.7500
   95   66  62.0   2 10.5000
   96   55  29.0   2 11.2500
   96   66  64.0   2 12.4425
   96   74  52.0   2 10.9500
   97   85   7.0   2 13.7500
   97   85  14.2   2 15.4750
   94   66  75.0   2  9.9500
