NOTE DOZENT VOLL INHALT AUSSTAT DAUER STUDPROF WANDER
1.73  2.0 1.6 1.9 1.7  10.5 16 -43    
1.87  1.8 1.7 2.3 1.8  11.5 26 -35    
1.91  2.0 1.3 2.5 1.9  11.2 14 -57    
1.94  2.0 1.5 2.3 2.0  12.9  .   .    
2.02  2.0 1.4 2.5 2.2  11.8 21 -58    
2.06  2.3 1.4 2.3 2.2  10.9 35 -53    
2.06  2.2 1.5 2.4 2.1  13.7 19 -44    
2.09  2.1 1.4 2.8 2.2  11.8  .  -61   
2.10  2.3 1.5 2.4 2.2  14.5 26 -53    
2.12  2.2 1.5 2.7 2.2    .   9  .     
2.14  2.5 1.5 2.5 2.1  10.5 22 -18    
2.15  2.3 1.7 2.7 2.0  13.9 36 -14    
2.19  2.2 1.7 2.8 2.2  12.5 22 -12    
2.20  2.2 1.6 2.5 2.4    .  15   .    
2.21  2.5 1.3 2.7 2.3  12.3 35 -31    
2.24  2.7 1.5 2.7 2.1  15.1 41 -75    
2.31  2.3 1.7 2.9 2.4  11.8 20 -71    
2.32  2.7 1.5 2.5 2.5  12.8 28 -32    
2.33  2.6 1.5 2.7 2.4   9.8 42 -81    
2.34  2.5 1.5 2.9 2.5  13.1 31 -24    
2.35  2.9 1.7 2.6 2.3  12.5 30 -39    
2.38  2.7 1.6 3.0 2.3  14.8 26 -59    
2.39  2.3 1.5 2.7 2.7  12.3 23 -71    
2.39  2.4 1.3 2.9 2.7  12.1 29  -77   
2.47  2.8 1.6 3.1 2.4  11.3 28  -58   
2.47  2.8 1.5 2.9 2.6  12.0 38   -3   
2.47  2.7 2.1 2.9 2.3  13.1 35  -40   
2.49  2.4 2.1 3.1 2.5   .   45    .   
2.50  2.6 1.7 2.6 2.8  10.5 23  -14   
2.53  3.2 1.5 3.2 2.4  11.3 36  -35   
2.57  3.0 1.9 3.0 2.5  12.8 70  -15   
2.57  2.9 1.8 2.8 2.8  13.3 31  -20   
2.62  2.5 1.8 2.9 3.0  14.3 60  -57   
2.68  3.0 2.0 3.0 2.7  14.3 69  -50   
2.78  3.3 2.0 3.0 2.8  12.5 28  -61   
2.98  3.3 2.4 3.4 2.9  12.7  .  -62   
3.05  2.9 2.2 3.7 3.2  14.3 34  -45   
3.07  3.3 2.3 3.3 3.1  14.4 32  -44   
3.62  3.4 3.7 3.3 3.8   .   27    .   
